21,Tatum,7,1970,0,50
7,Annabelle,5,1972,1,50
6,Roxanne,8,1973,2,50
30,Alma,5,1974,2,60
2,Elvis,3,1975,2,60
25,Galvin,7,1977,3,50
33,Firm,8,1985,1,60
43,Tina,3,1986,2,30
51,Elton,2,1986,2,30
40,Herdsman,2,1986,2,40
52,Rowena,5,1987,0,30
73,Kyle,1,1988,2,10
4,Malcolm,7,1988,3,60
16,Grace,3,1989,2,60
11,Divine,8,1990,1,40
35,Keith,3,1991,2,50
24,Phyllis,2,1992,2,50
12,Fiery,6,1993,2,40
89,Patricia,7,1993,0,0
5,Honor,6,1994,1,60
83,Earthy,1,1997,2,0
78,Owen,3,1999,2,0
62,Jed,1,1999,2,20
54,Medwin,6,1999,0,20
38,Livia,8,2000,3,40
56,Gaiety,8,2000,3,20
53,Zachary,7,2000,2,20
41,Stacy,8,2000,3,30
49,Otis,8,2000,3,30
64,Godly,5,2000,0,10
77,Mountain,5,2001,3,0
59,Ardent,5,2002,0,20
71,Wylie,7,2002,3,10
65,Marcus,6,2002,2,10
69,Warlike,2,2003,2,10
58,Farley,2,2003,2,20
36,Angela,6,2003,3,50
60,Lowell,7,2004,3,20
81,Finbar,7,2004,3,0
72,Olin,8,2005,1,10
76,Edwin,8,2005,1,0
82,Edmond,8,2006,1,0
14,Isaiah,8,2006,2,40
88,Quade,5,2006,2,0
13,Hugo,8,2007,3,40
61,Perry,6,2011,1,20
