6,Roxanne,8,1973,2,120
30,Alma,5,1974,2,130
33,Firm,8,1985,1,130
43,Tina,3,1986,2,100
51,Elton,2,1986,2,100
40,Herdsman,2,1986,2,110
73,Kyle,1,1988,2,80
91,Armed,1,1989,2,50
90,Gladys,1,1989,2,60
16,Grace,3,1989,2,130
35,Keith,3,1991,2,120
24,Phyllis,2,1992,2,120
12,Fiery,6,1993,2,110
83,Earthy,1,1997,2,70
78,Owen,3,1999,2,70
62,Jed,1,1999,2,90
53,Zachary,7,2000,2,90
56,Gaiety,8,2000,3,90
41,Stacy,8,2000,3,100
49,Otis,8,2000,3,100
65,Marcus,6,2002,2,80
69,Warlike,2,2003,2,80
58,Farley,2,2003,2,90
14,Isaiah,8,2006,2,110
88,Quade,5,2006,2,70
